Dataset,Feature,Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
pyarabic tashkeel tatweel preprocessed,Word2Vec-CBOW,XGBoost,0.39221556886227543,0.3301932192586281,0.2619644248469958,0.2767996492341136,0.3774780750417344
pyarabic tashkeel tatweel preprocessed,FastText,LinearSVM,0.16966067864271456,0.029071322922642997,0.07106497500961169,0.03775742296169133,0.08478079056139345
pyarabic tashkeel tatweel preprocessed,FastText,XGBoost,0.3413173652694611,0.3582243853702076,0.2273702537733271,0.2505508927270186,0.3318193434592213
pyarabic tashkeel tatweel preprocessed,BERT,LinearSVM,0.7754491017964071,0.711524535112621,0.7056340813063839,0.7025420446028994,0.7750325092875895
pyarabic tashkeel tatweel preprocessed,BERT,XGBoost,0.7774451097804391,0.7660843797283543,0.6789895815819594,0.7137373739958425,0.776276415396604
pyarabic tashkeel tatweel preprocessed,GPT,LinearSVM,0.7375249500998003,0.7254048556532892,0.6875725264718724,0.7027134343760698,0.7373605025079213
pyarabic tashkeel tatweel preprocessed,GPT,XGBoost,0.7504990019960079,0.7690582791404554,0.625136085215522,0.6661295659952523,0.7467155479623233
regex aggressive preprocessed,BoW,MultinomialNB,0.688622754491018,0.7084626482035452,0.5113121333269752,0.5480898863040382,0.6813294217565179
regex aggressive preprocessed,BoW,LinearSVM,0.7255489021956087,0.7093454371417086,0.6545051690832157,0.6727594655256283,0.724784431375183
regex aggressive preprocessed,BoW,XGBoost,0.6576846307385229,0.6814101017007805,0.561644962443183,0.5986061334892019,0.65852830364186
regex aggressive preprocessed,TF-IDF,MultinomialNB,0.6427145708582834,0.47324987972586097,0.3912398754868794,0.40466655504779386,0.6228336396878246
regex aggressive preprocessed,TF-IDF,LinearSVM,0.7465069860279441,0.7302751135793346,0.6536040433476894,0.6835180103082964,0.7456397590301177
regex aggressive preprocessed,TF-IDF,XGBoost,0.627744510978044,0.6162632632416828,0.5107732037204631,0.5450354357731887,0.6293798986693899
regex aggressive preprocessed,Word2Vec-SG,LinearSVM,0.28542914171656686,0.19429945680784383,0.15239517748233658,0.14015098125739922,0.23236137490418454
regex aggressive preprocessed,Word2Vec-SG,XGBoost,0.4600798403193613,0.5262570168839078,0.3521797530172903,0.3930874078793107,0.4539058277047625
regex aggressive preprocessed,Word2Vec-CBOW,LinearSVM,0.23253493013972057,0.17921241866324755,0.10440297660181592,0.0805299032967282,0.16438942814224794
regex aggressive preprocessed,Word2Vec-CBOW,XGBoost,0.530938123752495,0.6388460375358329,0.4087329864496664,0.45578302336969145,0.5235644347261276
regex aggressive preprocessed,FastText,LinearSVM,0.17065868263473055,0.03020600440946283,0.07142945021145712,0.03856231164729662,0.08666402803020566
regex aggressive preprocessed,FastText,XGBoost,0.30538922155688625,0.32676793685729766,0.20456831771037695,0.22656395948808192,0.29665085467747143
regex aggressive preprocessed,BERT,LinearSVM,0.7155688622754491,0.6843311743675035,0.6871177638524011,0.6694543267715354,0.7153007209438809
regex aggressive preprocessed,BERT,XGBoost,0.7584830339321357,0.7728281123043454,0.6557199464647239,0.6937180758453313,0.7562705170529376
regex aggressive preprocessed,GPT,LinearSVM,0.6716566866267465,0.646549102694815,0.6125871366842831,0.6241350466611953,0.6709592053133542
regex aggressive preprocessed,GPT,XGBoost,0.7015968063872255,0.7349205288861147,0.5954618405428267,0.6330608165293529,0.6972694414405843
